0,0,-62.1719210711
10,0,-62.2564411706
20,0,-62.4059372241
30,0,-62.7555673564
40,0,-63.4631384442
50,0,-64.6408445535
60,0,-66.3140526281
70,0,-68.4271651313
80,0,-70.6583901795
90,0,-72.9722365194
100,0,-75.2469604412
110,0,-77.5765422021
120,0,-78.0719409783
130,0,-77.1230635130
140,0,-74.7901804080
150,0,-72.7192975267
160,0,-71.2696406218
170,0,-70.2374319730
180,0,-69.6746942483
190,0,-69.5096247516
200,0,-69.4742822685
210,0,-69.8976768290
220,0,-70.6221787818
230,0,-72.3227249058
240,0,-74.3707522186
250,0,-77.7740112783
260,0,-79.2252321660
270,0,-75.2073871829
280,0,-71.2560494815
290,0,-68.5496726132
300,0,-66.6026902761
310,0,-65.2262579570
320,0,-64.2759750922
330,0,-63.5837981543
340,0,-62.9625848552
350,0,-62.5546503697
360,0,-62.1719210711
0,15,-61.4882334341
10,15,-61.4785896492
20,15,-61.4539435708
30,15,-61.6309434804
40,15,-62.0254633196
50,15,-62.7352037452
60,15,-64.0197253702
70,15,-65.5055063306
80,15,-67.4025705303
90,15,-69.5466251039
100,15,-71.9525398754
110,15,-74.8866566489
120,15,-77.5055164008
130,15,-80.1478473053
140,15,-77.7167382458
150,15,-74.5470556976
160,15,-71.9611371810
170,15,-70.1509293363
180,15,-68.9515439092
190,15,-68.1925347156
200,15,-68.0290389925
210,15,-68.2373727163
220,15,-68.7363867686
230,15,-69.8829605705
240,15,-71.7327377001
250,15,-74.6438345809
260,15,-78.2055472060
270,15,-77.3814678221
280,15,-73.4570075622
290,15,-69.6963767280
300,15,-67.0760080758
310,15,-65.2732502521
320,15,-63.9912550381
330,15,-63.0576753798
340,15,-62.2458858514
350,15,-61.5798204736
360,15,-61.4882334341
0,30,-59.7932802567
10,30,-59.7684434333
20,30,-59.8226348612
30,30,-60.0568346686
40,30,-60.5371443554
50,30,-61.2964163904
60,30,-62.2933429804
70,30,-63.7618554921
80,30,-65.7380247857
90,30,-67.5815192651
100,30,-69.9755285300
110,30,-72.6979663773
120,30,-76.0027862579
130,30,-78.3915044063
140,30,-77.8172565948
150,30,-74.8540952825
160,30,-71.8040931770
170,30,-69.2958042917
180,30,-67.6237526113
190,30,-66.8277296899
200,30,-66.4737906265
210,30,-66.7354859460
220,30,-67.2730255598
230,30,-69.0156648776
240,30,-70.9471463619
250,30,-73.6139697632
260,30,-75.5435144621
270,30,-74.2455066959
280,30,-71.1707351003
290,30,-68.4213128363
300,30,-66.1673704326
310,30,-64.2699111894
320,30,-62.8562923782
330,30,-61.8732417423
340,30,-60.9613333611
350,30,-60.3420740639
360,30,-59.7932802567
0,45,-58.4429741682
10,45,-58.3463368826
20,45,-58.4682546629
30,45,-58.7147480456
40,45,-59.2012874995
50,45,-60.1474425112
60,45,-61.2386800989
70,45,-62.4535748187
80,45,-64.2161347875
90,45,-66.2544073720
100,45,-68.5357748002
110,45,-70.8949989175
120,45,-73.5694303192
130,45,-76.4774790598
140,45,-77.2090894174
150,45,-74.9320793273
160,45,-72.0986446636
170,45,-69.7085182723
180,45,-68.0628036516
190,45,-67.0289873617
200,45,-67.0164818351
210,45,-67.6780740570
220,45,-68.6558776993
230,45,-70.3732657179
240,45,-72.0159975779
250,45,-73.2787848844
260,45,-72.9862360039
270,45,-70.9453288586
280,45,-68.6486460529
290,45,-66.6181198981
300,45,-64.5800734628
310,45,-62.8480154489
320,45,-61.3417560640
330,45,-60.1873333166
340,45,-59.2945912887
350,45,-58.6257828004
360,45,-58.4429741682
0,60,-56.9248430590
10,60,-56.9487967673
20,60,-57.1335729915
30,60,-57.3258690795
40,60,-58.0137805762
50,60,-58.9362823928
60,60,-60.1390078778
70,60,-61.7492138321
80,60,-63.5261480416
90,60,-65.6154591313
100,60,-67.7464363887
110,60,-70.0303194582
120,60,-72.4955832103
130,60,-74.7624330634
